"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","load_time","rt","stimulus","response","task","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","phase","path","original_filename","trialType","extension_type","extension_version","webgazer_data","webgazer_targets"
"true","false","[]","[]","[]","preload","0","2.1.0","3","","","","","","","","","","","","","","","","","",""
"","","","","","webgazer-init-camera","1","2.1.0","20165","161","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","2","2.1.0","22210","","2043","
    <p>A seguir, faremos a **calibração do sistema de rastreamento ocular**.</p>
    <p>Você verá uma sequência de pontos na tela. Por favor, **olhe fixamente para cada ponto e CLIQUE NELE** quando ele aparecer.</p>
    <p>Faça isso com precisão, pois uma boa calibração é crucial para a qualidade dos dados.</p>
    <p>Tempo estimado: aproximadamente 2 minutos.</p>
    <p style=""font-size: 16px; color: #555;"">(Se você vir um pequeno ponto azul seguindo seu olhar, tente fazê-lo se mover com precisão para cada ponto de calibração.)</p>
  ","0","","","","","","","","","","","","","",""
"","","","","","webgazer-calibrate","3","2.1.0","47426","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","48962","","1535","
    <p>Agora, vamos **validar a precisão** da calibração.</p>
    <p>Você verá pontos novamente. **Olhe para cada ponto**, mas desta vez **NÃO PRECISA CLICAR**.</p>
    <p>Apenas siga-os com o olhar para que o sistema possa verificar o quão bem ele está rastreando.</p>
    <p style=""font-size: 16px; color: #555;"">(Observe o ponto azul. Tente fazê-lo se mover com precisão para cada ponto.)</p>
  ","0","","","","","","","","","","","","","",""
