path,trialType,x,y,t
/002.jpg,image,675,236,1164
/002.jpg,image,631,241,1197
/002.jpg,image,584,231,1232
/002.jpg,image,557,232,1266
/002.jpg,image,579,241,1300
/002.jpg,image,547,256,1335
/002.jpg,image,667,388,1368
/002.jpg,image,783,605,1402
/002.jpg,image,833,785,1436
/002.jpg,image,884,900,1470
/002.jpg,image,925,977,1505
/002.jpg,image,932,1012,1538
/002.jpg,image,968,996,1572
/002.jpg,image,991,1019,1606
/002.jpg,image,982,966,1639
/002.jpg,image,962,948,1674
/002.jpg,image,932,902,1707
/002.jpg,image,880,854,1742
/002.jpg,image,908,811,1776
/002.jpg,image,899,753,1811
/002.jpg,image,926,594,1845
/002.jpg,image,918,498,1879
/002.jpg,image,914,409,1912
/002.jpg,image,925,294,1946
/002.jpg,image,864,237,1979
/002.jpg,image,807,186,2013
/002.jpg,image,739,145,2048
/002.jpg,image,726,127,2081
/002.jpg,image,679,115,2117
/002.jpg,image,640,109,2149
/002.jpg,image,625,158,2184
/002.jpg,image,712,275,2218
/002.jpg,image,800,434,2252
/002.jpg,image,816,545,2286
/002.jpg,image,822,617,2320
/002.jpg,image,849,712,2354
/002.jpg,image,900,776,2387
/002.jpg,image,922,816,2422
/002.jpg,image,912,861,2456
/002.jpg,image,890,899,2490
/002.jpg,image,901,908,2523
/002.jpg,image,909,932,2557
/002.jpg,image,889,890,2592
/002.jpg,image,886,857,2626
/002.jpg,image,874,803,2660
/002.jpg,image,860,782,2694
/002.jpg,image,870,747,2727
/002.jpg,image,842,629,2761
/002.jpg,image,838,533,2796
